segment_id,frequency,total_entries,viewer_rank,read_date
1543168,1,285,22,2020-10-11 14:19:33.114967
6898591,1,408,3,2020-10-11 14:19:39.786555
20152485,1,1491,25,2020-10-11 14:19:46.426210
12524369,1,624,18,2020-10-11 14:19:52.618972
3883214,1,890,31,2020-10-11 14:19:58.928299
4267302,1,1371,129,2020-10-11 14:20:06.090870
2465427,4,1645,29,2020-10-11 14:20:12.714838
5458504,4,1551,112,2020-10-11 14:20:18.890575
668180,1,1795,400,2020-10-11 14:20:25.482631
15159613,1,1359,360,2020-10-11 14:20:32.139382
7331572,1,2345,406,2020-10-11 14:20:38.329158
1506641,1,1551,465,2020-10-11 14:20:44.637802
7475165,1,3174,414,2020-10-11 14:20:50.770559
1023367,1,1551,81,2020-10-11 14:20:57.451114
1258037,1,5995,222,2020-10-11 14:21:04.216011
8930977,1,6216,922,2020-10-11 14:21:10.766353
4243125,1,6197,572,2020-10-11 14:21:17.118001
8930965,1,6195,317,2020-10-11 14:21:23.864129
668181,1,6055,641,2020-10-11 14:21:30.546299
14717966,1,6353,541,2020-10-11 14:21:37.203058
14717487,1,6351,371,2020-10-11 14:21:43.394122
15160205,1,5773,360,2020-10-11 14:21:49.718884
9730108,1,7715,276,2020-10-11 14:21:56.459840
1428664,1,5267,438,2020-10-11 14:22:03.221243
14930877,1,4889,125,2020-10-11 14:22:09.422087
15160207,1,4783,309,2020-10-11 14:22:16.244049
1411154,1,6417,669,2020-10-11 14:22:22.907250
11666833,1,6322,555,2020-10-11 14:22:29.534936
3405017,1,6246,396,2020-10-11 14:22:35.642179
10167809,1,6850,295,2020-10-11 14:22:42.324319
907089,1,6704,223,2020-10-11 14:22:48.911376
12381920,1,7920,405,2020-10-11 14:22:55.472531
9712928,1,8745,279,2020-10-11 14:23:02.258088
1752130,1,2193,1,2020-10-11 14:23:09.601644
8920484,1,8137,237,2020-10-11 14:23:15.969131
10297140,1,8279,132,2020-10-11 14:23:22.596539
9713195,1,8326,30,2020-10-11 14:23:29.195844
7389677,1,978,197,2020-10-11 14:23:35.930262
17667295,1,1438,7,2020-10-11 14:23:43.032023
